module,module_name,reactions
M00055,N-glycan precursor biosynthesis,"R05969, R05970, R05972, R05973, R06238, R06127, R06128, R06258, R06259, R06260, R06261, R01005, R06262, R06263, R06264"
M00098,Acylglycerol degradation,"R02250, R02687, R01351"
M00107,"Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone","R01454, R04854, R02723, R04855, R03933, R02216"
M00108,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone","R02213, R03851, R03262, R03263"
M00043,"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine","R03539, R03973, R03953, R03208"
M00977,"C19-Steroid hormone biosynthesis (androgen backdoor pathway), pregnenolone => androsterone => dihydrotestosterone","R03783, R03327, R13215, R13216, R13217, R13218, R13039, R13219, R04330, R08963"
M00976,"C19-Steroid hormone biosynthesis, pregnenolone => testosterone => dihydrotestosterone","R03783, R08517, R01837, R01836, R01838, R02497"
M00367,"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes","R01123, R01658, R02003, R02061"
M00101,"Cholesterol biosynthesis, FPP => cholesterol","R00702, R02872, R02874, R03199, R05640, R05639, R07509, R07494, R07495, R12403, R12404, R12405, R07498, R03353, R07215, R01451, R01456"
M00110,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone","R03783, R08517, R01837, R01840, R04759, R02351"
M00094,Ceramide biosynthesis,"R01281, R02978, R06517, R06519"
M00099,Sphingosine biosynthesis,"R01281, R02978, R06517, R06519, R01494"
M00066,Lactosylceramide biosynthesis,"R01497, R03354"
M00100,Sphingosine degradation,"R01926, R06516"
M00092,"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE","R01468, R02038, R02057"
M00090,"Phosphatidylcholine (PC) biosynthesis, choline => PC","R01021, R01890, R01321"
M00091,"Phosphatidylcholine (PC) biosynthesis, PE => PC","R02056, R03424, R01320"
M00069,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3","R05937, R05940, R05947"
M00068,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer","R05960, R05962"
M00070,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer","R05971, R06006"
M00071,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer","R05971, R05977"
M00067,"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid","R01500, R04017, R10804, R10805"
M00065,"GPI-anchor biosynthesis, core oligosaccharide","R05916, R05917, R05918, R05919, R12350, R12351, R05922, R08107, R12702"
M00109,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone","R02211, R03326, R02843, R02834, R02836"
M00104,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate","R01463, R04263, R04826, R04823, R04824, R04825, R04807, R08759, R08761, R08733, R08734, R08735, R04813, R04812, R03719, R07296, R04817, R04818, R04819, R04806, R08758, R08760, R08738, R08739, R08740, R04809, R04810, R04811, R03974"
M00106,"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate","R02794, R03720, R03718"
M00120,"Coenzyme A biosynthesis, pantothenate => CoA","R03018, R04230, R04231, R03269, R03035, R00130"
M00130,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4","R03361, R03469, R03435, R03433"
M00131,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol","R03430, R03427, R04372, R01187"
M00132,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate","R03429, R03478, R05202"
M00880,"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor","R09394, R11372, R09395, R09726, R09735"
M00842,"Tetrahydrobiopterin biosynthesis, GTP => BH4","R00428, R05046, R05048, R04639, R04286, R08208"
M00037,"Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin","R01814, R02701, R02911, R03130"
M00103,Cholecalciferol biosynthesis,"R03311, R03611, R03610"
