model_id,kegg.module,module_name
MAR04052,M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
MAR04052,M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04052,M00580,"Pentose phosphate pathway, archaea, fructose-6P => ribose-5P"
MAR04350,,
MAR04352,,
MAR04354,M00004,Pentose phosphate pathway (Pentose phosphate cycle)
MAR04354,M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
MAR04354,M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04398,M00004,Pentose phosphate pathway (Pentose phosphate cycle)
MAR04398,M00006,"Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P"
MAR04404,,
MAR04474,M00004,Pentose phosphate pathway (Pentose phosphate cycle)
MAR04474,M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
MAR04474,M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04476,M00004,Pentose phosphate pathway (Pentose phosphate cycle)
MAR04476,M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
MAR04476,M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04477,M00004,Pentose phosphate pathway (Pentose phosphate cycle)
MAR04477,M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
MAR04501,,
MAR04565,,
MAR04567,,
MAR09799,M00004,Pentose phosphate pathway (Pentose phosphate cycle)
MAR09799,M00006,"Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P"
MAR09799,M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
MAR09800,,
MAR04625,,
MAR04710,,
MAR08074,,
MAR03998,M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
MAR04000,M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
MAR04002,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04004,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04010,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04081,,
MAR04082,,
MAR04012,M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
MAR04014,,
MAR04020,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
MAR04022,M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
MAR04038,M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
