module_id,reactions
M00938,"R02018  C00015 -> C01346 R02331  C01346 -> C00460 R02100  C00460 -> C00365 R02101,R06613  C00365 -> C00364 R02094  C00364 -> C00363 R02093  C00363 -> C00459"
M00046,"R00978,R00977  C00106 -> C00429 R02269  C00429 -> C02642 R00905  C02642 -> C00099 R01415,R11026  C00178 -> C21028 R03055  C21028 -> C21029 R04666  C21029 -> C01205"
M00555,"R01025,R08557,R08558,R07409,R01022  C00114 -> C00576 R02565,R02566,R08211  C00576 -> C00719"
M00974,"R02821  C00719 -> C01026 R01565  C01026 -> C00213 R00610,R00611  C00213 -> C00037"
M00042,"R00731,R01815  C00082 -> C00355 R02080  C00355 -> C03758 R02535  C03758 -> C00547 R02533  C00547 -> C00788"
M00892,R00768  C00085 -> C00352 R02058  C00352 -> C00357 R08193  C00357 -> C04501 R00416  C04501 -> C00043
M01003,R01201  C00140 -> C00357 R08193  C00357 -> C04501 R00416  C04501 -> C00043
M00955,R00414  C00043 -> C00645 R02705  C00645 -> C04257 R04435  C04257 -> C06241 R01805  C06241 -> C00270 R01117  C00270 -> C00128 R01115  C00128 -> C03691
M00055,R05969  C00110 -> G00001 R05970  G00001 -> G00002 R05972  G00002 -> G00003 R05973  G00003 -> G00004 R06238  G00004 -> G00005 R06127  G00005 -> G10526 R06128  G10526 -> G00006 R06258  G00006 -> G10595 R06259  G10595 -> G10596 R06260  G10596 -> G10597 R06261  G10597 -> G00007 R01005  C00110 -> C01246 R06262  C01246 + G00007 -> G10598 R06263  G10598 -> G10599 R06264  G10599 -> G00008
M00098,R02250  C00422 -> C00641 R02687  C00641 -> C01885 R01351  C01885 -> C00116
M00107,R01454  C00187 -> C05500 R04854  C05500 -> C05501 R02723  C00187 -> C05502 R04855  C05502 -> C05501 R03933  C05501 -> C01953 R02216  C01953 -> C00410
M00108,R02213  C00410 -> C03205 R03851  C03205 -> C02140 R03262  C02140 -> C01124 R03263  C01124 -> C01780
M00043,R03539  C00082 -> C02515 R03973  C02515 -> C01060 R03953  C01060 -> C02465 R03208  C01060 -> C01829
M00977,"R03783  C01953 -> C05138 R03327  C05138 -> C01176 R13215  C01176 -> C22831 R13216,R13217  C22831 -> C22832 R13218  C22832 -> C00523 R13039,R13219  C00523 -> C03852 R04330,R08963  C03852 -> C03917"
M00976,"R03783  C01953 -> C05138 R08517  C05138 -> C01227 R01837  C01227 -> C00280 R01836,R01838  C00280 -> C00535 R02497  C00535 -> C03917"
M00367,R01123  C00129 <-> C00235 R01658  C00235 + C00129 -> C00341 R02003  C00341 + C00129 -> C00448 R02061  C00448 + C00129 -> C00353
M00101,"R00702  C00448 -> C03428 R02872  C03428 -> C00751 R02874  C00751 -> C01054 R03199  C01054 -> C01724 R05640  C01724 -> C11455 R05639  C11455 -> C05108 R07509  C05108 -> C15808 R07494  C15808 -> C15816 R07495  C15816 -> C05103 R12403  C05103 -> C22112 R12404  C22112 -> C22136 R12405  C22136 -> C05437 R07498  C05437 -> C03845 R03353  C03845 -> C01189 R07215  C01189 -> C01164 R01451,R01456  C01164 -> C00187"
M00110,R03783  C01953 -> C05138 R08517  C05138 -> C01227 R01837  C01227 -> C00280 R01840  C00280 -> C05290 R04759  C05290 -> C05297 R02351  C05297 -> C00468
M00094,R01281  C00154 + C00065 -> C02934 R02978  C02934 -> C00836 R06517  C00836 -> C12126 R06519  C12126 -> C00195
M00099,R01281  C00154 -> C02934 R02978  C02934 -> C00836 R06517  C00836 -> C12126 R06519  C12126 -> C00195 R01494  C00195 -> C00319
M00066,R01497  C00195 -> C01190 R03354  C01190 -> C01290
M00100,R01926  C00319 -> C06124 R06516  C06124 -> C00346
M00092,R01468  C00189 -> C00346 R02038  C00346 -> C00570 R02057  C00570 -> C00350
M00090,R01021  C00114 -> C00588 R01890  C00588 -> C00307 R01321  C00307 -> C00157
M00091,R02056  C00350 -> C01241 R03424  C01241 -> C04308 R01320  C04308 -> C00157
M00069,R05937  G00092 -> G00108 R05940  G00108 -> G00113 R05947  G00113 -> G00118
M00068,R05960  G00092 -> G00093 R05962  G00093 -> G00094
M00070,R05971  G00092 -> G00036 R06006  G00036 -> G00037
M00071,R05971  G00092 -> G00036 R05977  G00036 -> G00050
M00067,R01500  C00195 -> C02686 R04017  C02686 -> C06125 R10804  C03201 -> C20859 R10805  C20859 -> C20825
M00065,R05916  C01194 -> G00143 R05917  G00143 -> G00144 R05918  G00144 -> G00145 R05919  G00145 -> G00146 R12350  G00146 -> G13128 R12351  G13128 -> G00148 R05922  G00148 -> G00149 R08107  G00149 -> G13044 R12702  G13044 -> G13152
